run_id,event_index,backend_id,proof_type,proof_size_bytes,verification_time_ms,status,error_code
W2-A2-merkle-R02,27,A2-merkle,inclusion,442,0.015083,ok,
W3-A1-memory-R01,0,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,1,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,2,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,3,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,4,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,5,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,6,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,7,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,8,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,9,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,10,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,11,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,12,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,13,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,14,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,15,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,16,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,17,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,18,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,19,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,20,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,21,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,22,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,23,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,24,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,25,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,26,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,27,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R01,28,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,0,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,1,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,2,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,3,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,4,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,5,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,6,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,7,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,8,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,9,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,10,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,11,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,12,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,13,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,14,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,15,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,16,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,17,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,18,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,19,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,20,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,21,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,22,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,23,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,24,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,25,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,26,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,27,A1-memory,none,0,0.000000,ok,
W3-A1-memory-R02,28,A1-memory,none,0,0.000000,ok,
W3-A2-merkle-R01,0,A2-merkle,inclusion,165,0.008473,ok,
W3-A2-merkle-R01,1,A2-merkle,inclusion,233,0.009174,ok,
W3-A2-merkle-R01,2,A2-merkle,inclusion,233,0.010145,ok,
W3-A2-merkle-R01,3,A2-merkle,inclusion,302,0.011137,ok,
W3-A2-merkle-R01,4,A2-merkle,inclusion,233,0.008583,ok,
W3-A2-merkle-R01,5,A2-merkle,inclusion,302,0.010275,ok,
W3-A2-merkle-R01,6,A2-merkle,inclusion,302,0.010746,ok,
W3-A2-merkle-R01,7,A2-merkle,inclusion,371,0.014071,ok,
W3-A2-merkle-R01,8,A2-merkle,inclusion,233,0.007832,ok,
W3-A2-merkle-R01,9,A2-merkle,inclusion,303,0.010416,ok,
